sf_code,end_stock_day,product_name,new_balance,unit,bbd,product_type
Univ49a,2019-12-31,,0.8,ctn,1999-12-31,FRZ
Univ53a,2019-12-31,,1.8,ctn,2016-09-26,FRZ
Univ53b,2019-12-31,,4,ctn,2017-11-04,FRZ
VFK04,2019-12-31,,0.8,kg,2018-05-15,FRZ
VFK04,2019-12-31,,21,ctn,2019-12-13,FRZ
VFK06,2019-12-31,,1,ctn,2019-12-18,DRY
VNR10,2019-12-31,,113.75,ctn,2019-10-08,DRY
VNR6,2019-12-31,,9,bag,2016-06-09,FRZ
WDY01,2019-12-31,,3,ctn,2019-09-01,FRZ
YHF10,2019-12-31,,0.9,ctn,1999-12-31,FRZ
YM12,2019-12-31,,5,ctn,2014-11-07,DRY
YM13,2019-12-31,,3.8337,ctn,2015-07-18,DRY
YM19,2019-12-31,,3.9,ctn,2017-03-25,DRY
YM19,2019-12-31,,2,ctn,2017-06-25,DRY
YMT02,2019-12-31,,19,ctn,2019-12-20,DRY
YMT05,2019-12-31,,1,ctn,2018-01-25,DRY
YS03,2019-12-31,,3,ctn,2019-08-31,DRY
YS03,2019-12-31,,5,ctn,2019-10-31,DRY
YS09,2019-12-31,,1,ctn,2019-08-15,DRY
YS24,2019-12-31,,3,ctn,2012-10-27,DRY
YS26,2019-12-31,,1,ctn,2014-02-19,DRY
YS33A,2019-12-31,,1,ctn,2019-11-30,DRY
YZ22,2019-12-31,,1.48,ctn,2013-10-29,FRZ
YZL05,2019-12-31,,0.25,ctn,2019-06-27,DRY
