sf_code,product_type,product_name
DH51,FRZ,Frozen Seasoned Seaweed 1kg Pack Normal 100% Fungus Added  
DH52,FRZ,Blood Clam - Akagai 10g
DH53,FRZ,wakasagi Fish   (Sweetened Stewed Smelt)
DH54,FRZ,Sugar Preserved Plum
DQS01A,FRZ,Sea Urchin 100g 
DW,FRZ,Frozan Battered Sweet Potato
DW10a,DRY,Tonkotsu Sauce Ariake 1.8L
Dw16a,DRY,Modify Tapioka Starch25kg (GELPROA65)
DW16a,DRY,Modify Tapioka Starch25kg (GELPROA65)
DW17a,DRY,Oriental Funmatsu (Powdered) Kansui Red
DW18a,DRY,Oriental Funmatsu (Powdered) Kansui Blue
DW19,DRY,UMAMI VEGETABLE OIL Tin 20L
DW21,DRY,Cooking Salt 10kg
DW22,FRZ,UMAMI I Love Tofu 750g
DW23,FRZ,Daiwa Cut Wakame 500g
DW23a,DRY,Daiwa Cut Wakame 500gm
DW40,DRY,Castaway Chux Roll Blue 45mx30cm
DW69,FRZ,Tempura Sweet Potato 500gm
EBP03a,DRY,White Charcoal
EBP04,DRY,BBQ Sawdust Briquette (Good quality)
FNW01,DRY,Paper bags with handle size L
FNW02,DRY,Paper bags without handle size S
FO03,FRZ,Frozen Breaded Peeled Tail on Prawn - 3L(VIT)
FO04,FRZ,Frozen Battered Cooked Prawn Tempura - 31/35(VIT)
FO04A,FRZ,Frozen Battered Cooked Prawn Tempura - 31/35(VIT) New Package
FO06,FRZ,Frozen Battered Cooked Prawn Tempura - 21/25 A(VIT)
FO09,FRZ,Ebi Fry 61/70 (No tail)
FO13,FRZ,Frozen Breaded Prawn cutlets 40g (Round Shape)
FO15,FRZ,Frozen Breaded Prawn Cutlets 23g (Oval)
FO16,FRZ,(ST) Frozen Breaded Peeled Tail on Prawn Ebi Fry 2Tail (VIT)
FO17,FRZ,Frozen Breaded Peeled Tail-on Prawn Ebi Fry M (Cooked)
FO18,FRZ,Frozen Breaded Peeled Tail on Prawn  (Cooked) - 3L(VIT)
FO19,FRZ,Frozen Breaded Prawn Cutlets (Cooked) 23g (Oval)
FO20,FRZ,Ebi Katsu Stick (Cooked) 18cm 50-55g
FO21,FRZ,Frozen Breaded Peeled Tail on Prawn (Cooked) - ML(VIT)
FSS01,DRY,Shiso-Japanese Green Shiso
FSS02,DRY,Shiso-Japanese Red Shiso
FSS03,DRY,Japanese Wild Parsley(Mitsuba)
FSS04,DRY,Komatsuna(Japanse Mustard spinach)
FSS05,DRY,Mizuna - Green leaf
FSS06,DRY,"Okahijiki (Saltwort, Land Seaweed)"
FUF07,FRZ,Frozen Roasted Conger EEL Jelly
FUF10,FRZ,Frozen Roasted EEL 90g Cut (Y)
GCA01d,DRY,Sugar 25kg Bundaberg
GCA01e,DRY,Sugar 25kg Bundaberg
GCA02b,DRY,Dairy Salt 25kg
GCA02c,DRY,Dairy Salt 25kg
GCA03e,DRY,Brown Sugar 25kg
GCA06,DRY,Tapioka Starch Era 500g
GCA07,DRY,America sweet rice (short grain sticky rice)
GFJ01,FRZ,Frozen Shrimp Shaomai 25g
GFJ02,FRZ,Shrimp Mayonnaise Roll 40g
GFJ03,FRZ,Cabbage & Shrimp Gyoza 25g
GFJ04,FRZ,Corn Cheese Pastry Stick 10g
GFJ05,FRZ,Edamame Pastry Stick 10g
GFJ06,FRZ,Sandwich Bun Half-oval  shape 30g
GFJ06HACHI,FRZ,Sandwich Bun Half-oval  shape 30g
GFJ07,FRZ,Sandwich Bun Half-oval  shape 60g
GFJ08,FRZ,Ebi Fry (GF) 30g
GFJ10,FRZ,Fried Ika Tempura 1kg
GFJ11,FRZ,Shrimp Wonton 15g
GFJ12,DRY,Chives Vegetarian Gyoza(Green) 25g
GFJ13,FRZ,Shrimp Gyoza 25g
GFJ14,FRZ,Ebi Fry (GF) 25g
GFJ15,FRZ,Charcoal Sandwich Bun Black Half-moon shape 30g
GFJ16,FRZ,Sandwich Bun Half-moon shape 30g
GFJ17,FRZ,Sandwich Bun Half-moon shape 60g
GFJ18,FRZ,FROZEN CHIVES - 5mm CUT
GFJ19,DRY,Crispy Calamari And Cheese Bites 20g
GOM01,DRY,Hokkai Seaweed Konbu 80g
GOM02a,FRZ,Dried Anchovy - DASHI
GOM03a,DRY,Black Rice 5Kg
GPM01,FRZ,Ox Tongue Swiss Cut
GZG01e,FRZ,Arabiki Sausage (Plain) 500g
HJL01a,DRY,Sodium bicarbonate 25kg
HNC05,FRZ,Frozen Squid (YARI IKA) SOMEN 1CM
HNC06,FRZ,Frozen Blanched dice-cut  Squid 1CM
HNC08,FRZ,Frozen Tuna neck meat 200-300g
HNC11,FRZ,Frozen Squid (YARI IKA) SUGATA 12g
HUI01,FRZ,Vegetable Spring Roll 18g
IBF04,FRZ,FROZEN ROASTED EEL
IBF06,FRZ,FROZEN SCALLOP HALF SHELL - ROE OFF (M) 8-10cm
IBF08,DRY,SALMON ROE SOY Marinated (KAWAKI) 500g 
IBF09,FRZ,FROZEN OYSTER (IQF) MEAT 1KG
IBF10,FRZ,Frozen Breaded Yellowtail (Aji Fry) 50g
IBF11,FRZ,Frozen Seasoned Pacific Herring Roe (Kazunoko) 500g
IBF12,DRY,FROZEN GREENLAND HALIBUT SLICE (ENGAWA) 8g(JP)
IBF13,DRY,FROZEN GREENLAND HALIBUT SLICE (ENGAWA) 8g(CN)
IBF14,FRZ,Frozen Squid Sugata 15g (Yari Ika Sugata) 15g
IBF15,FRZ,Frozen Rice Dumplings(Soy sauce) 60g
IBF16,FRZ,Frozen Rice Dumplings(Red Bean) 60g
IBF17,FRZ,Frozen Scallops (IQF) Meat  4s (1.5 grade) 
ICE,FRZ,Japanese Ice confectionery ice balls
ICE01,FRZ,Ice Taiyaki Ice  130ml
ICE02,FRZ,Ice Panapp Multi Pack (Ice Cream)
ICE03,FRZ,Ice Mini Yukimi Daifuku Multi Pack
ICE04,FRZ,Yukimi Daifuku(2pc)
ICE05,FRZ,Taiyaki Ice Box 300ml
ICE06,FRZ,Ice Box Maccha Tsubuan Monaka
ICE07,FRZ,Ice Choco Monaka Jumbo
ICE08,FRZ,Mona-ou Vanilla 
ICE09,FRZ,Mona-ou Multi Vanilla 100ml
ICE10,FRZ,Zacrich 105ml
ICE11,FRZ,Ice Gari Gari kun (Grapefruit flavour)   110ml
ICE12,FRZ,Maccha Tsubuan Monaka
