sf_code,end_stock_day,product_name,new_balance,unit,bbd,product_type
DH02,31/12/2019,,1,ctn,15/06/2019,FRZ
DH02,31/12/2019,,10,ctn,28/10/2019,FRZ
DH02,31/12/2019,,2.7,ctn,30/05/2021,FRZ
DH02,31/12/2019,,72,ctn,30/05/2021,DRY
DH03,31/12/2019,,30,ctn,30/05/2021,FRZ
DH03,31/12/2019,,24,ctn,30/05/2021,DRY
DH04,31/12/2019,,2.666,ctn,21/02/2017,FRZ
DH05,31/12/2019,,1.5,ctn,21/02/2017,FRZ
DH07,31/12/2019,,4.5004,ctn,21/02/2017,FRZ
DH08,31/12/2019,,0.625,ctn,31/12/1999,FRZ
DH08B,31/12/2019,,6.6,ctn,28/10/2019,FRZ
DH09,31/12/2019,,9,ctn,30/05/2021,DRY
DH11,31/12/2019,,0.7959,ctn,21/02/2017,FRZ
DH11A,31/12/2019,,36,ctn,6/04/2017,FRZ
DH11A,31/12/2019,,36,ctn,10/04/2018,DRY
DH12,31/12/2019,,0.6666,ctn,21/02/2017,FRZ
DH13A,31/12/2019,,11.45,ctn,10/11/2020,FRZ
DH14,31/12/2019,,3.6432,ctn,31/08/2017,FRZ
DH19,31/12/2019,,30,ctn,30/05/2021,FRZ
DH20,31/12/2019,,6,ctn,30/05/2021,FRZ
DH21,31/12/2019,,1.3,ctn,21/02/2017,FRZ
DH23,31/12/2019,,5,ctn,8/05/2018,FRZ
DH24,31/12/2019,,2,ctn,31/12/1999,FRZ
DH24,31/12/2019,,2,ctn,8/05/2018,FRZ
DH25,31/12/2019,,4,ctn,3/12/2020,FRZ
DH27,31/12/2019,,2.8,ctn,1/09/2018,FRZ
DH34,31/12/2019,,2.75,ctn,31/12/2099,DRY
DH34,31/12/2019,,1,pack,31/12/2099,DRY
DH35A,31/12/2019,,38,ctn,10/12/2020,FRZ
DH40,31/12/2019,,7,ctn,28/10/2019,DRY
DH41,31/12/2019,,3,ctn,28/10/2019,FRZ
DH44,31/12/2019,,30,ctn,28/12/2020,DRY
DH44,31/12/2019,,27,ctn,30/12/2020,DRY
DH44,31/12/2019,,16,ctn,30/12/2020,FRZ
DH45,31/12/2019,,144,ctn,10/12/2020,DRY
DH45,31/12/2019,,42,ctn,10/12/2020,FRZ
DH46,31/12/2019,,2,ctn,31/12/2099,DRY
DH47,31/12/2019,,22,ctn,10/12/2020,FRZ
DH49,31/12/2019,,12,ctn,10/12/2020,FRZ
DH50,31/12/2019,,15.9,ctn,30/05/2021,FRZ
DH52,31/12/2019,,4,ctn,30/05/2021,FRZ
DH53,31/12/2019,,2.6,ctn,30/05/2021,FRZ
DH54,31/12/2019,,13,ctn,30/05/2021,FRZ
DQS01A,31/12/2019,,3.3,ctn,6/10/2017,FRZ
DQS01A,31/12/2019,,0.72,ctn,3/12/2017,FRZ
DW16a,31/12/2019,,5,ctn,31/12/1999,DRY
DW16a,31/12/2019,,10,ctn,13/09/2021,DRY
DW19,31/12/2019,,5,ctn,29/10/2020,DRY
DW19,31/12/2019,,1,ctn,31/12/2099,DRY
DW21,31/12/2019,,4,ctn,31/12/2099,DRY
EBP03a,31/12/2019,,15,ctn,31/12/2099,DRY
EBP04,31/12/2019,,206,ctn,31/12/2099,DRY
FNW01,31/12/2019,,159,ctn,31/12/2099,DRY
FNW02,31/12/2019,,144,ctn,31/12/2099,DRY
FO04,31/12/2019,,96,ctn,23/04/2021,FRZ
FO04A,31/12/2019,,25,ctn,30/03/2021,FRZ
FO06,31/12/2019,,108,ctn,23/04/2021,FRZ
FO09,31/12/2019,,2,ctn,28/08/2018,FRZ
FO13,31/12/2019,,9,ctn,22/01/2019,FRZ
FO17,31/12/2019,,19,ctn,28/03/2021,FRZ
FO18,31/12/2019,,27,ctn,23/04/2021,FRZ
FO19,31/12/2019,,30,ctn,30/03/2021,FRZ
FO20,31/12/2019,,0.25,ctn,15/08/2020,FRZ
FO20,31/12/2019,,24,ctn,29/03/2021,DRY
FO20,31/12/2019,,14,ctn,29/03/2021,FRZ
FO20,31/12/2019,,24,ctn,23/04/2021,FRZ
FO21,31/12/2019,,64,ctn,28/03/2021,DRY
FO21,31/12/2019,,20,ctn,28/03/2021,FRZ
FUF10,31/12/2019,,2,ctn,6/11/2020,FRZ
GCA01e,31/12/2019,,1,ctn,30/06/2020,DRY
GCA01e,31/12/2019,,23,ctn,11/12/2020,DRY
GCA02c,31/12/2019,,37,ctn,26/11/2020,DRY
GCA03e,31/12/2019,,6,ctn,29/10/2020,DRY
GCA03e,31/12/2019,,2,ctn,31/12/2099,DRY
GCA06,31/12/2019,,2,ctn,15/09/2021,DRY
GCA07,31/12/2019,,1,ctn,31/12/2099,DRY
GFJ01,31/12/2019,,24,ctn,9/08/2018,FRZ
GFJ02,31/12/2019,,4.95,ctn,9/08/2018,FRZ
GFJ03,31/12/2019,,8,ctn,26/10/2019,FRZ
GFJ04,31/12/2019,,10,ctn,9/11/2020,FRZ
GFJ05,31/12/2019,,4.9,ctn,24/12/2018,FRZ
GFJ05,31/12/2019,,10.8,ctn,2/07/2020,FRZ
GFJ06,31/12/2019,,19,ctn,9/05/2021,FRZ
GFJ07,31/12/2019,,19,ctn,15/02/2021,FRZ
GFJ08,31/12/2019,,5.5,ctn,24/12/2018,FRZ
GFJ10,31/12/2019,,0.2,ctn,9/08/2018,FRZ
GFJ10,31/12/2019,,0.8,ctn,26/08/2019,FRZ
GFJ11,31/12/2019,,6,ctn,24/12/2018,FRZ
GFJ12,31/12/2019,,52,ctn,9/11/2020,DRY
GFJ12,31/12/2019,,60,ctn,15/02/2021,DRY
GFJ12,31/12/2019,,150,ctn,9/05/2021,DRY
GFJ13,31/12/2019,,23,ctn,9/05/2021,FRZ
GFJ17,31/12/2019,,5,ctn,9/08/2018,FRZ
GFJ18,31/12/2019,,10,ctn,15/02/2021,FRZ
GFJ19,31/12/2019,,58,ctn,9/05/2021,DRY
GOM01,31/12/2019,,9,pc,11/04/2016,DRY
GOM02a,31/12/2019,,7,ctn,1/08/2020,FRZ
GOM03a,31/12/2019,,2,ctn,25/04/2020,DRY
HJL01a,31/12/2019,,8,bag ,17/01/2021,DRY
HNC05,31/12/2019,,0.98,ctn,12/01/2019,FRZ
HNC06,31/12/2019,,0.95,ctn,12/01/2019,FRZ
HNC08,31/12/2019,,16,ctn,12/01/2019,FRZ
HUI01,31/12/2019,,614,ctn,6/06/2021,DRY
IBF04,31/12/2019,,1,ctn,3/06/2019,FRZ
IBF06,31/12/2019,,2.8,ctn,3/06/2019,FRZ
IBF08,31/12/2019,,48,ctn,23/01/2022,DRY
IBF08,31/12/2019,,13,ctn,23/01/2022,FRZ
IBF09,31/12/2019,,7.9334,ctn,18/01/2020,FRZ
IBF10,31/12/2019,,8,ctn,13/08/2020,FRZ
IBF12,31/12/2019,,60,ctn,7/10/2021,DRY
IBF13,31/12/2019,,48,ctn,31/03/2021,FRZ
IBF13,31/12/2019,,48,ctn,31/03/2021,DRY
IBF14,31/12/2019,,0.9367,ctn,1/03/2021,FRZ
IBF15,31/12/2019,,9.9584,ctn,6/10/2020,FRZ
IBF16,31/12/2019,,5.9584,ctn,14/10/2020,FRZ
IBF17,31/12/2019,,20,ctn,17/08/2021,FRZ
ICE,31/12/2019,,5,ctn,31/12/1999,FRZ
ICE01,31/12/2019,,5,ctn,2/04/2021,FRZ
ICE02,31/12/2019,,1,ctn,31/12/1999,FRZ
ICE02,31/12/2019,,1,ctn,4/10/2020,FRZ
ICE02,31/12/2019,,1,ctn,7/12/2020,FRZ
ICE02,31/12/2019,,2,ctn,8/02/2021,FRZ
ICE03,31/12/2019,,7,ctn,8/02/2021,FRZ
ICE03,31/12/2019,,10,ctn,2/04/2021,FRZ
ICE04,31/12/2019,,1,ctn,4/10/2020,FRZ
ICE04,31/12/2019,,3,ctn,7/12/2020,FRZ
ICE05,31/12/2019,,2,ctn,8/02/2021,FRZ
ICE05,31/12/2019,,5,ctn,2/04/2021,FRZ
ICE06,31/12/2019,,2,ctn,8/02/2021,FRZ
ICE06,31/12/2019,,8,ctn,2/04/2021,FRZ
ICE07,31/12/2019,,5,ctn,2/04/2021,FRZ
ICE08,31/12/2019,,1,ctn,7/12/2020,FRZ
ICE08,31/12/2019,,5,ctn,2/04/2021,FRZ
ICE09,31/12/2019,,4,ctn,2/04/2021,FRZ
ICE10,31/12/2019,,3,ctn,1/04/2019,FRZ
ICE11,31/12/2019,,1,ctn,31/12/1999,FRZ
ICE11,31/12/2019,,3,ctn,1/04/2019,FRZ
ICE11,31/12/2019,,1,ctn,2/04/2021,FRZ
ICE12,31/12/2019,,4,ctn,2/04/2021,FRZ
ICE13,31/12/2019,,1,ctn,31/12/1999,FRZ
ICE13,31/12/2019,,3,ctn,2/04/2021,FRZ
ICE14,31/12/2019,,2,ctn,2/04/2021,FRZ
ICE15,31/12/2019,,1,ctn,31/12/1999,FRZ
ICE15,31/12/2019,,3,ctn,8/02/2021,FRZ
ICE16,31/12/2019,,2,ctn,1/04/2019,FRZ
ICE17,31/12/2019,,2,ctn,8/02/2021,FRZ
ICE17,31/12/2019,,6,ctn,2/04/2021,FRZ
ICE18,31/12/2019,,10,ctn,1/04/2019,FRZ
ICE20,31/12/2019,,4,ctn,8/02/2021,FRZ
ICE20,31/12/2019,,8,ctn,2/04/2021,FRZ
ICE21,31/12/2019,,9,ctn,2/04/2021,FRZ
ICE22,31/12/2019,,3,ctn,8/07/2020,FRZ
ICE23,31/12/2019,,4,ctn,2/04/2021,FRZ
ICE24,31/12/2019,,4,ctn,4/10/2020,FRZ
ICE24,31/12/2019,,2,ctn,7/12/2020,FRZ
ICE24,31/12/2019,,5,ctn,8/02/2021,FRZ
ICE24,31/12/2019,,2,ctn,2/04/2021,FRZ
ICE25,31/12/2019,,1,ctn,1/04/2019,FRZ
ICE25,31/12/2019,,2,ctn,7/12/2020,FRZ
ICE25,31/12/2019,,3,ctn,2/04/2021,FRZ
ICE26,31/12/2019,,2,ctn,8/02/2021,FRZ
ICE26,31/12/2019,,8,ctn,2/04/2021,FRZ
ICE27,31/12/2019,,1,ctn,8/02/2021,FRZ
ICE28,31/12/2019,,1,ctn,31/12/1999,FRZ
ICE28,31/12/2019,,2,ctn,8/07/2020,FRZ
ICE28,31/12/2019,,1,ctn,8/02/2021,FRZ
ICE28,31/12/2019,,1,ctn,2/04/2021,FRZ
ICE29,31/12/2019,,1,ctn,7/03/2020,FRZ
ICE29,31/12/2019,,3,ctn,19/03/2020,FRZ
ICE29,31/12/2019,,2,ctn,8/07/2020,FRZ
ICE29,31/12/2019,,5,ctn,8/02/2021,FRZ
ICE29,31/12/2019,,1,ctn,2/04/2021,FRZ
ICE30,31/12/2019,,10,ctn,1/04/2019,FRZ
ICE30,31/12/2019,,3,ctn,8/07/2020,FRZ
ICE30,31/12/2019,,1,ctn,8/02/2021,FRZ
ICE30,31/12/2019,,1,ctn,2/04/2021,FRZ
ICE33,31/12/2019,,2,ctn,8/07/2020,FRZ
ICE33,31/12/2019,,1,ctn,2/04/2021,FRZ
ICE34,31/12/2019,,1,ctn,4/10/2020,FRZ
ICE35,31/12/2019,,1,ctn,8/07/2020,FRZ
ICE35,31/12/2019,,2,ctn,4/10/2020,FRZ
ICE35,31/12/2019,,2,ctn,7/12/2020,FRZ
ICE35,31/12/2019,,1,ctn,2/04/2021,FRZ
ICE36,31/12/2019,,1,ctn,1/04/2019,FRZ
ICE36,31/12/2019,,2,ctn,8/07/2020,FRZ
ICE36,31/12/2019,,3,ctn,4/10/2020,FRZ
ICE37,31/12/2019,,1,ctn,8/02/2021,FRZ
ICE40,31/12/2019,,2,ctn,7/03/2020,FRZ
ICE45,31/12/2019,,1,ctn,19/03/2020,FRZ
ICE46,31/12/2019,,2,ctn,8/02/2021,FRZ
ICE46,31/12/2019,,10,ctn,2/04/2021,FRZ
ICE47,31/12/2019,,2,ctn,8/02/2021,FRZ
ICE52,31/12/2019,,4,ctn,8/02/2021,FRZ
ICE53,31/12/2019,,1,ctn,31/12/1999,FRZ
ICE58,31/12/2019,,3,ctn,8/02/2021,FRZ
ICE58,31/12/2019,,5,ctn,2/04/2021,FRZ
ICE59,31/12/2019,,1,ctn,7/03/2020,FRZ
ICE60,31/12/2019,,1,ctn,7/03/2020,FRZ
ICE60,31/12/2019,,2,ctn,8/02/2021,FRZ
ICE61,31/12/2019,,1,ctn,31/12/1999,FRZ
ICE61,31/12/2019,,3,ctn,8/07/2020,FRZ
ICE62,31/12/2019,,3,ctn,8/07/2020,FRZ
ICE63,31/12/2019,,4,ctn,8/07/2020,FRZ
ICE64,31/12/2019,,2,ctn,7/12/2020,FRZ
ICE64,31/12/2019,,10,ctn,2/04/2021,FRZ
ICE66,31/12/2019,,1,ctn,19/03/2020,FRZ
ICE66,31/12/2019,,2,ctn,8/02/2021,FRZ
ICE67,31/12/2019,,1,ctn,7/12/2020,FRZ
ICE67,31/12/2019,,2,ctn,8/02/2021,FRZ
ICE68,31/12/2019,,2,ctn,31/12/1999,FRZ
ICE68,31/12/2019,,2,ctn,4/10/2020,FRZ
ICE69,31/12/2019,,3,ctn,4/10/2020,FRZ
ICE69,31/12/2019,,2,ctn,7/12/2020,FRZ
ICE69,31/12/2019,,3,ctn,8/02/2021,FRZ
ICE70,31/12/2019,,1,ctn,4/10/2020,FRZ
ICE70,31/12/2019,,2,ctn,7/12/2020,FRZ
ICE71,31/12/2019,,5,ctn,4/10/2020,FRZ
ICE73,31/12/2019,,1,ctn,8/02/2021,FRZ
ICE74,31/12/2019,,2,ctn,8/02/2021,FRZ
ICE76,31/12/2019,,4,ctn,2/04/2021,FRZ
ICE77,31/12/2019,,1,ctn,8/02/2021,FRZ
ICE79,31/12/2019,,5,ctn,2/04/2021,FRZ
ICE80,31/12/2019,,2,ctn,8/02/2021,FRZ
ICE80,31/12/2019,,11,ctn,2/04/2021,FRZ
ICE82,31/12/2019,,5,ctn,2/04/2021,FRZ
ICE85,31/12/2019,,1,ctn,2/04/2021,FRZ
ICE86,31/12/2019,,4,ctn,2/04/2021,FRZ
IMV03,31/12/2019,,14.8572,ctn,31/12/2099,DRY
